0,1,2,3
0.00044598676382128297,0.6055145248105296,0.0,0.0
0.00024033931096304294,0.5681932720263861,0.0,0.0
0.00016364075877712414,0.5572450635359842,0.0,0.0
0.0001220754984738977,0.5514831916728675,0.0,0.0
9.73741759393543e-05,0.5483359624608758,0.0,0.0
8.171159558928261e-05,0.5467218197958423,0.0,0.0
7.089343289271706e-05,0.5460047084820515,0.0,0.0
6.263098368502709e-05,0.5458332727511715,0.0,0.0
5.5957814363640073e-05,0.5459573970973528,0.0,0.0
5.026846773256918e-05,0.5462362548126767,0.0,0.0
4.546724426747443e-05,0.5465826942773129,0.0,0.0
4.117617077607596e-05,0.5469915048763361,0.0,0.0
3.7329351247877255e-05,0.5473966718786819,0.0,0.0
3.389274350343948e-05,0.5478038580159159,0.0,0.0
3.076893700379e-05,0.5481947213680827,0.0,0.0
2.7910645649388797e-05,0.5485564625792025,0.0,0.0
2.537461452710606e-05,0.5488961511201106,0.0,0.0
2.3016712734615065e-05,0.5492108948531178,0.0,0.0
2.088627735020055e-05,0.5494958478771184,0.0,0.0
1.8954952509021447e-05,0.5497688514351203,0.0,0.0
1.7247603666921924e-05,0.5500177691234829,0.0,0.0
1.577137349563849e-05,0.5502522404952765,0.0,0.0
1.438304719182893e-05,0.5504666915785746,0.0,0.0
1.3157609091045807e-05,0.5506672068041649,0.0,0.0
1.2094443426548565e-05,0.5508548347167631,0.0,0.0
1.1126650506979586e-05,0.5510315174283993,0.0,0.0
1.024634232796173e-05,0.5511963144555829,0.0,0.0
9.46654467059526e-06,0.5513545890413656,0.0,0.0
8.820889719146036e-06,0.5514964119775579,0.0,0.0
8.293598932108185e-06,0.5516344010956047,0.0,0.0
7.815420463542786e-06,0.55176519648973,0.0,0.0
7.3794898523863405e-06,0.5518815827431273,0.0,0.0
6.973501158317177e-06,0.5519916563511721,0.0,0.0
6.575597993363207e-06,0.5520965243702406,0.0,0.0
6.250587814627894e-06,0.552193080330599,0.0,0.0
5.978417546980883e-06,0.5522815475027096,0.0,0.0
5.7270626849104075e-06,0.5523644549213503,0.0,0.0
5.505276688968281e-06,0.5524414862216107,0.0,0.0
5.320240131633533e-06,0.5525147166254611,0.0,0.0
5.1700787293934655e-06,0.5525812959824677,0.0,0.0
5.072760058414771e-06,0.5526444989083796,0.0,0.0
4.991880076829916e-06,0.5527036366868051,0.0,0.0
4.927996095810967e-06,0.5527579469034465,0.0,0.0
4.883969004798648e-06,0.5528087633459045,0.0,0.0
4.827209006223661e-06,0.5528558337544945,0.0,0.0
4.769888479077483e-06,0.5529004471965286,0.0,0.0
4.701281109502967e-06,0.5529405799041703,0.0,0.0
4.605799636810362e-06,0.5529785063500705,0.0,0.0
4.494058150398747e-06,0.5530141298309492,0.0,0.0
4.3630888356488646e-06,0.5530471598422085,0.0,0.0
4.224882935704905e-06,0.5530778596128093,0.0,0.0
4.0713488817605425e-06,0.5531045183800195,0.0,0.0
3.896031551705326e-06,0.5531297816849178,0.0,0.0
3.708918162598092e-06,0.5531550571397124,0.0,0.0
3.5171173282696393e-06,0.5531768252686666,0.0,0.0
3.319174747210798e-06,0.553197748515245,0.0,0.0
3.106471337412748e-06,0.5532162155289579,0.0,0.0
2.901191834095202e-06,0.5532329063468988,0.0,0.0
2.7074751457825846e-06,0.5532478182595943,0.0,0.0
2.524270947649146e-06,0.5532604921976645,0.0,0.0
2.343949787810661e-06,0.553272045149583,0.0,0.0
2.173507668825864e-06,0.5532809130914291,0.0,0.0
2.021126632089633e-06,0.5532890050830022,0.0,0.0
1.8819854834232972e-06,0.5532964578563171,0.0,0.0
1.7600571564329138e-06,0.5533020967298243,0.0,0.0
1.6504997325311968e-06,0.5533064973510361,0.0,0.0
1.5511283599344403e-06,0.5533100864849709,0.0,0.0
1.4662750365186124e-06,0.5533129076973606,0.0,0.0
1.391838235582693e-06,0.5533147706884288,0.0,0.0
1.3302754832770322e-06,0.5533161759477261,0.0,0.0
1.2853267760949578e-06,0.5533170779883558,0.0,0.0
1.2463234846373356e-06,0.5533173737815543,0.0,0.0
1.2119318558679882e-06,0.5533174583945357,0.0,0.0
1.1798554664571762e-06,0.5533171441553647,0.0,0.0
1.1513351299371824e-06,0.553317065230513,0.0,0.0
1.1283119259536202e-06,0.5533166281460826,0.0,0.0
1.1063739078395164e-06,0.5533163981568854,0.0,0.0
1.0856900547468753e-06,0.5533162565541074,0.0,0.0
1.0584792338274577e-06,0.5533162755794931,0.0,0.0
1.026271539836364e-06,0.5533164782313398,0.0,0.0
9.92645377556216e-07,0.5533166356090268,0.0,0.0
9.569704265817164e-07,0.5533167846046732,0.0,0.0
9.176677117045198e-07,0.5533172666828375,0.0,0.0
