0,1,2
-2.993362490204486e-12,3.1807027676367475e-12,-2.1936102148670457e-12
1.028508578330825e-13,1.3384188454608405e-11,-8.185057950417575e-11
-2.0486666187779055e-12,-8.668733171079567e-12,-7.779356863734208e-11
3.785615267871282e-10,1.5366529470028344e-10,9.418459854040176e-12
-2.3263540217607413e-12,-4.573206408027727e-11,-1.5340603045895792e-10
2.7166338395375906e-10,1.0855558227717776e-10,7.581623532891947e-12
3.4276502639832738e-12,-3.208462900656706e-11,-1.3877341621964937e-10
6.603128008374134e-11,4.604075595843876e-11,-1.4411167936957635e-13
3.02235461511834e-11,6.023450811246295e-11,1.368625539215987e-11
-6.0169559621023676e-12,2.0079439176946117e-11,-1.0971234535109773e-10
9.971066742081976e-13,2.1705298322795116e-12,-6.963492387709758e-11
1.0241075024650338e-11,-3.0518360877849373e-12,-4.881656759673654e-11
-8.451118785258396e-12,3.020832637756996e-11,7.436143885215062e-12
-6.3862929098251785e-12,1.7330856069107334e-11,7.115622483817165e-12
5.878427354327638e-12,2.910342359541441e-11,3.449998121365087e-12
1.943740704495093e-11,5.6263289407543225e-12,1.4144380400935182e-12
1.2137170316460643e-10,5.010990296401105e-11,8.386219486361724e-12
5.709913407967301e-13,-2.6888576891827897e-12,-2.937803452379559e-11
-1.3086647169609163e-11,2.3287757090053162e-12,1.761625033090629e-12
-1.5384946088447872e-11,2.324026486901589e-12,-1.177266711559865e-12
-1.0063472600662442e-11,-3.761734454030978e-12,2.5619621762108213e-13
9.948536598808827e-11,-1.8406455146503006e-10,-1.045250632809046e-10
-5.807883814913561e-11,1.3043012203139488e-11,1.3809430912973252e-12
-1.8467459622378598e-11,8.861100228669759e-13,-8.684958835524575e-13
-2.4394935480388858e-11,1.4237074539272952e-12,-1.323723008768272e-12
-5.325835264413168e-12,-2.2975610394747103e-11,-9.911718627433853e-11
-3.402148883679971e-10,1.1393317768537022e-10,3.285824518198201e-11
1.7786286840135594e-10,-5.977674515856581e-10,1.4366113188858478e-09
1.6207099835169917e-12,-6.325544670479139e-12,-6.051888263679003e-11
-5.830536367561895e-11,3.992278970384068e-12,8.578289470136289e-13
5.081694542773878e-10,2.5315516482909006e-10,4.239757711053902e-11
1.5521927311103904e-11,-2.2741670824945307e-12,-9.309223503655094e-13
1.8686209355675092e-11,-2.275774020916989e-12,-1.1186924820068559e-12
5.359121734908559e-11,4.214647742017172e-11,2.1434839545699218e-11
9.30989821345474e-11,5.532627214156923e-11,7.937576522679711e-12
-2.8600578248502143e-14,-1.2473295772979694e-11,-5.260563062491677e-11
1.6886253943465445e-12,-1.6568828940877725e-11,-8.447749365830572e-11
-7.351002600556026e-12,-3.098362993004245e-11,-1.0813923472421924e-10
8.619993535863316e-12,-4.710751858156497e-11,-1.4892813537968132e-10
-7.325146343178932e-11,-1.0305134262449485e-11,-3.27424560923614e-12
-7.61518911082769e-11,4.751904928167194e-11,1.1527016146193653e-11
2.2271854836208523e-13,-2.522095237474034e-12,-8.385526302016383e-11
-1.4723737635830635e-11,4.964372831632589e-12,1.524089517479174e-12
-7.627188630905887e-12,-1.1175451677260542e-11,-5.91054057657372e-11
-1.7142997032893864e-11,9.351916339162876e-13,-4.76756923080133e-13
-3.9935970662443386e-10,1.3203301381818873e-10,1.961762304734146e-11
-3.55747363413862e-10,1.3727074944504209e-10,3.9268674389007714e-11
-1.1523913432938855e-12,-8.570176933613487e-12,-8.302661734084483e-11
-2.2403313919779528e-11,1.5785788038653858e-12,-3.4276837284284277e-12
2.6286729873195147e-12,1.274411526280128e-12,-4.5424872601036217e-13
-4.105624428094745e-12,-1.049851563896142e-11,-1.075705698169606e-10
5.629408780429093e-12,-1.8643599857042215e-12,-8.383892055175775e-11
8.8019623694982e-12,-4.577349055154066e-11,-1.7570942195667023e-10
-1.97888846342595e-11,7.255957885749232e-13,-8.793783841483199e-13
-1.7718824694277737e-11,1.2406080572146788e-12,-4.145525288072539e-13
-6.44782366435727e-13,-1.3654908602728745e-12,-4.568875221498284e-11
4.2442746765586776e-12,-1.739549223091044e-11,-9.761403356041458e-11
-1.5760788378149492e-10,7.634898608559656e-11,6.743392914712155e-12
4.804850519546699e-12,-8.690847083893586e-12,-6.72040207965063e-11
-2.5772699290055586e-12,-6.681090718921851e-12,-9.508690014432256e-11
-2.2349637108315037e-12,7.450892541697905e-12,-5.081781034269724e-11
-7.811544943656968e-12,1.2831542773606615e-12,-2.037330074698548e-12
-2.9373461338371315e-11,2.313246239089428e-12,-1.0279140148257753e-12
-3.202259218855647e-11,6.062954373768773e-13,4.627202805577052e-13
-1.6442529632535348e-09,-1.2654402126729558e-10,1.2506491759913092e-10
-4.764103154280931e-11,1.458864233230002e-11,2.943890145319556e-12
-2.7869230392596076e-11,-6.906676780750497e-12,-1.6732315592066505e-12
-2.6250452421214358e-11,-5.488239857481354e-12,-4.855473426299778e-12
-2.0823019770053116e-11,-6.824434662953537e-11,-5.249953691627364e-11
1.0229639616081607e-12,1.4898869360226563e-12,-3.728176973040814e-11
-7.935656912722638e-10,2.1814786898800321e-10,8.726608297568503e-11
-2.6876970528398616e-12,7.923131876130852e-12,-3.397404461994606e-11
-4.881675834798279e-12,-9.9083234636796e-13,-2.430894109929861e-13
-1.8113458868714167e-11,5.24528981261471e-12,-3.042289228130273e-12
5.559544442893759e-12,-2.2520237449418964e-11,-8.963686826880231e-11
-7.20764041945145e-11,3.764905636651365e-11,8.776561403319248e-12
-3.685549318198602e-15,-5.057316478466662e-12,-4.153607454153211e-11
1.0342369597611074e-13,-5.979528024454477e-12,-3.215853012907654e-11
-1.92883492894178e-12,1.3698235339130255e-12,-3.878120615061434e-11
5.783870891515166e-13,-5.77995798277444e-12,-3.3406616797489025e-11
2.0506558380526478e-09,5.930454376527319e-10,2.566341228676503e-10
3.1261948916625276e-09,-2.709962630445001e-10,6.320989413718509e-10
-1.7981757292526176e-12,-3.4741299687059333e-12,-1.0155001296540236e-10
4.512669962182673e-12,-8.581090189374781e-12,-1.129322555994407e-10
9.729084930117664e-11,5.376489953041649e-11,4.743144595513373e-12
9.993569436662593e-11,5.7907910346853154e-11,4.698415199020654e-12
-2.3882141851692715e-11,1.3036831889712394e-12,-2.396453260721414e-12
-2.4987075959841168e-11,3.9891824864109895e-13,-1.7422983482232831e-12
-7.025609976544122e-12,2.386310918134757e-12,1.1126616582046605e-12
-1.29148472857116e-11,1.2698335956860533e-12,1.2680309723620669e-12
3.337498614772751e-11,2.6040250800031835e-12,-3.4678766484786077e-12
9.224460618634909e-12,2.8121300258001737e-12,-8.089917964234449e-11
-1.7253558709830327e-12,6.614064418906572e-13,-7.239462669999004e-11
4.884099685126677e-13,-2.7921598575769903e-11,-8.065621850196972e-11
6.764027557317402e-13,1.4704106035797765e-12,-4.1201910475808856e-11
-4.546760413964941e-10,1.4668357046739531e-10,3.475350190816338e-11
7.758652167827358e-12,-8.926419160647278e-12,-1.1727365720709122e-10
-4.535459396057515e-10,1.4597450082975346e-10,-1.9892740206114794e-11
3.3363188778817074e-14,-8.179923047577439e-12,-4.424108687983369e-11
1.6314736891535607e-12,-3.999712823749597e-11,-1.0279490037564243e-10
-2.0518042761952107e-11,-5.150084886795375e-11,-6.13722527041002e-11
8.925461581617169e-12,-1.9592895720200935e-11,-9.047605043990981e-11
1.244860878510465e-12,-9.336898334473631e-11,-1.721817534367439e-10
1.0534538656094018e-11,-1.306395779297603e-10,-2.0589345101061046e-10
5.4029827295864184e-12,1.6249146433002192e-12,-1.137940186590403e-12
-6.338509537457106e-13,-1.4020612398102016e-12,-1.2457346021238193e-10
1.7461828565518775e-12,-2.8232443862313732e-12,-7.189003614624364e-11
-2.7960051013914803e-11,1.8446682731561896e-11,3.646512819374869e-12
